currency,valid_from,eur_exchange_rate,rate_source,notes
EUR,1900-01-01,1.0,base_currency,Base reporting currency
BGN,1900-01-01,0.5112918811962185,fixed_peg,Fixed at 1 EUR = 1.95583 BGN
CAD,2024-01-02,0.6865774116031583,ecb_daily,ECB reference rate: 1 EUR = 1.4565 CAD
CAD,2024-01-03,0.6861534239055853,ecb_daily,ECB reference rate: 1 EUR = 1.4574 CAD
CAD,2024-01-04,0.6847907964116963,ecb_daily,ECB reference rate: 1 EUR = 1.4603 CAD
CAD,2024-01-05,0.684931506849315,ecb_daily,ECB reference rate: 1 EUR = 1.46 CAD
CAD,2024-01-08,0.6825472663981981,ecb_daily,ECB reference rate: 1 EUR = 1.4651 CAD
CAD,2024-01-09,0.6843221788818176,ecb_daily,ECB reference rate: 1 EUR = 1.4613 CAD
CAD,2024-01-10,0.682640453273261,ecb_daily,ECB reference rate: 1 EUR = 1.4649 CAD
CAD,2024-01-11,0.6813381481229134,ecb_daily,ECB reference rate: 1 EUR = 1.4677 CAD
CAD,2024-01-12,0.6833401667350006,ecb_daily,ECB reference rate: 1 EUR = 1.4634 CAD
CAD,2024-01-15,0.6805035726437564,ecb_daily,ECB reference rate: 1 EUR = 1.4695 CAD
CAD,2024-01-16,0.682081713389264,ecb_daily,ECB reference rate: 1 EUR = 1.4661 CAD
CAD,2024-01-17,0.6802258349772125,ecb_daily,ECB reference rate: 1 EUR = 1.4701 CAD
CAD,2024-01-18,0.6811525100469995,ecb_daily,ECB reference rate: 1 EUR = 1.4681 CAD
CAD,2024-01-19,0.6823144104803494,ecb_daily,ECB reference rate: 1 EUR = 1.4656 CAD
CAD,2024-01-22,0.6839945280437757,ecb_daily,ECB reference rate: 1 EUR = 1.462 CAD
CAD,2024-01-23,0.6826870562534134,ecb_daily,ECB reference rate: 1 EUR = 1.4648 CAD
CAD,2024-01-24,0.6817097279978185,ecb_daily,ECB reference rate: 1 EUR = 1.4669 CAD
CAD,2024-01-25,0.6796248470844094,ecb_daily,ECB reference rate: 1 EUR = 1.4714 CAD
CAD,2024-01-26,0.684603272403642,ecb_daily,ECB reference rate: 1 EUR = 1.4607 CAD
CAD,2024-01-29,0.6876633200385092,ecb_daily,ECB reference rate: 1 EUR = 1.4542 CAD
CAD,2024-01-30,0.6866245536940402,ecb_daily,ECB reference rate: 1 EUR = 1.4564 CAD
CAD,2024-01-31,0.6869075422448139,ecb_daily,ECB reference rate: 1 EUR = 1.4558 CAD
CAD,2024-02-01,0.6875687568756876,ecb_daily,ECB reference rate: 1 EUR = 1.4544 CAD
CAD,2024-02-02,0.6870019236053861,ecb_daily,ECB reference rate: 1 EUR = 1.4556 CAD
CAD,2024-02-05,0.6893223960846487,ecb_daily,ECB reference rate: 1 EUR = 1.4507 CAD
CAD,2024-02-06,0.6884207627702053,ecb_daily,ECB reference rate: 1 EUR = 1.4526 CAD
CAD,2024-02-07,0.6896076132680505,ecb_daily,ECB reference rate: 1 EUR = 1.4501 CAD
CAD,2024-02-08,0.6894174422612892,ecb_daily,ECB reference rate: 1 EUR = 1.4505 CAD
CAD,2024-02-09,0.6903216899074969,ecb_daily,ECB reference rate: 1 EUR = 1.4486 CAD
CAD,2024-02-12,0.689464975179261,ecb_daily,ECB reference rate: 1 EUR = 1.4504 CAD
CAD,2024-02-13,0.6891323823306457,ecb_daily,ECB reference rate: 1 EUR = 1.4511 CAD
